lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
62684,,M,NA,Adult,SS,C:20.0;W:56.0;T:17.0;TAIL:37,TNE,NA,,6-Mar-52,Nectariniidae,Nectarinia mediocris,Nectarinia,usambarica,TANZANIA TANGA REGN LUSHOTO DIST NA MKUSSI FOREST (MKUSSU),TANGA REGN,LUSHOTO DIST,5500 F,-4.77,38.37,3/6/1952,1952,3,study skin,NA,Lushoto Dist,Lushoto Dist
76105,B65,M,NA,,SS,,TNE,11.5,"ZIEGLER, A P",19-Apr-70,Muscicapidae,Camaroptera chloronota,Camaroptera,toroensis,UGANDA BUNYORO KINGDOM  NA ,BUNYORO KINGDOM,,(<4500 F),1.75,31.58,4/19/1970,1970,4,study skin,NA,,
104694,D-K 079,F,4273,,SS,,OVARY GRANULAR,29,"VITULLO, J",14-Sep-89,Icteridae,Icterus cayanensis,Icterus,,ARGENTINA ENTRE RIOS PROV  NA CRUCECITAS,ENTRE RIOS PROV,,,-31.92,-59.83,9/14/1989,1989,9,study skin,NA,,
102445,RWS769,M,NA,,SN,C:11.8;W:193.0;T:39.0;TAIL:128.0,,52,D&D DISPOSAL,00 DEC 1981,Falconidae,Falco sparverius,Falco,sparverius,UNITED STATES CALIFORNIA LOS ANGELES CO NA ,CALIFORNIA,LOS ANGELES CO,,33.8108199,-118.2967341,NA,NA,NA,complete skeleton,CA,Los Angeles Co,Los Angeles County
106953,A-77,M,NA,,PS,C:92.5; W:220; T:69.6; TAIL:78,T = 5 X 3,318,"GARRETT, K L",12-Jun-83,Scolopacidae,Limosa fedoa,Limosa,,CANADA ALBERTA PROV  NA TILLEY,ALBERTA PROV,,,NA,NA,6/12/1983,1983,6,body (trunk) skeleton only,NA,,
53840,20639,M,NA,,SS,,,NA,"PARTRIDGE, W H",1-Sep-59,Emberizidae,Pyrrhocoma ruficeps,Pyrrhocoma,,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,9/1/1959,1959,9,study skin,NA,,
20861,1734,F,NA,,SS,,,NA,"BAILEY, A M",10-Oct-15,Anatidae,Aix sponsa,Aix,,UNITED STATES IOWA JOHNSON CO NA IOWA CITY,IOWA,JOHNSON CO,,41.6611137,-91.5301666,10/10/1915,1915,10,study skin,IA,Johnson Co,Johnson County
58231,34448,M,NA,,SS,,,NA,"CARRIKER, M A JR",2-Jun-62,Formicariidae,Taraba major,Taraba,granadensis,COLOMBIA SANTANDER  NA PORTUGAL,SANTANDER,,850 M,6.75,-73.35,6/2/1962,1962,6,study skin,NA,,
114115,10183,F,NA,Adult,SN,C=49.6; W=409; TAIL=155,"OV= 15 X 9, GRANULAR",640,WETLANDS AND WILDLIFE CARE CENTER,25-Nov-02,Laridae,Larus californicus,Larus,,UNITED STATES CALIFORNIA ORANGE CO NA HUNTINGTON BEACH,CALIFORNIA,ORANGE CO,,33.6904955,-118.0063819,11/25/2002,2002,11,complete skeleton,CA,Orange Co,Orange County
8872,3973,F,NA,,SS,,,NA,"DAGGETT, F S",17-Aug-00,Emberizidae,Passerculus sandwichensis,Passerculus,rostratus,UNITED STATES CALIFORNIA LOS ANGELES CO NA LONG BEACH,CALIFORNIA,LOS ANGELES CO,,33.7833333,-118.25,8/17/1900,1900,8,study skin,CA,Los Angeles Co,Los Angeles County
112798,16-Jan,U,NA,,SN,,,NA,"GUTHRIE, D A",00 DEC 1999,Diomedeidae,Phoebastria immutabilis,Phoebastria,,HAWAIIAN IS MIDWAY ATOLL  NA ,MIDWAY ATOLL,,,NA,NA,NA,NA,NA,complete skeleton,NA,,
59832,172,U,NA,,SS,,,NA,"BERLA, H F",29-Sep-63,Tyrannidae,Myiobius barbatus,Myiobius,barbatus,BRAZIL AMAPA  NA SERRA DO NAVIO,AMAPA,,,0.98,-52.05,9/29/1963,1963,9,study skin,NA,,
59498,,M,NA,,SS,,,NA,"BERLA, H F",00 MAR 1962,Ramphastidae,Pteroglossus aracari,Pteroglossus,aracari,BRAZIL ESPIRITO SANTO  NA CONCEICAO DA BARRA,ESPIRITO SANTO,,,-18.58,-39.75,NA,NA,NA,study skin,NA,,
115303,,F,7408,,FB,C=10.4; W=105; T=18.7; TAIL=68,"OV = 4 X 3, GRANULAR",24.5,"STEELE, L S",22-Feb-09,Fringillidae,Leucosticte tephrocotis,Leucosticte,dawsoni,UNITED STATES CALIFORNIA INYO CO NA ASPENDELL,CALIFORNIA,INYO CO,,NA,NA,2/22/2009,2009,2,flat skin and complete skeleton,CA,Inyo Co,Inyo County
94254,17828,M,NA,,SS,,,NA,"PARTRIDGE, W H",7-Aug-59,Emberizidae,Tachyphonus coronatus,Tachyphonus,,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,8/7/1959,1959,8,study skin,NA,,
115196,,F,7174,,SS,W=88,"OV = 6 X 4, LFOLL = 1",27.5,"STONEMAN, J",24-May-09,Muscicapidae,Catharus ustulatus,Catharus,ssp,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES,CALIFORNIA,LOS ANGELES CO,,NA,NA,5/24/2009,2009,5,study skin,CA,Los Angeles Co,Los Angeles County
90014,,M,NA,,SK,,,NA,"LINTON, C B",2-Mar-07,Podicipedidae,Podiceps nigricollis,Podiceps,californicus,UNITED STATES CALIFORNIA LOS ANGELES CO NA ALAMITOS BAY,CALIFORNIA,LOS ANGELES CO,,33.75,-118.133,3/2/1907,1907,3,skull only,CA,Los Angeles Co,Los Angeles County
10300,24,F,NA,,SS,,,NA,"ZELLNER, L",20 MAY 1888,Hirundinidae,Petrochelidon pyrrhonota,Petrochelidon,pyrrhonota,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES,CALIFORNIA,LOS ANGELES CO,,33.9651,-118.1549,1888-05-20,1888,5,study skin,CA,Los Angeles Co,Los Angeles County
117476,,M,NA,Immature,SN,,,NA,"AINLEY, D G",00 MAY 1979,Stercorariidae,Catharacta maccormicki,Catharacta,, ROSS SEA  NA ,ROSS SEA,,,-77,-174,NA,NA,NA,complete skeleton,NA,,
123671,,,7387,,TI,,,NA,,19-Oct-09,Emberizidae,Zonotrichia leucophrys,Zonotrichia,,UNITED STATES CALIFORNIA ORANGE CO NA ,CALIFORNIA,ORANGE CO,,33.6662353,-117.7641561,10/19/2009,2009,10,tissue only,CA,Orange Co,Orange County
