"","X.2","catalog","genus","species","sex","date","country","county","state","loc","tl","ws","wc","ossif","wt","description","skin","skeleton","tissue","wing","ethanol","year","month","decade","collection","order","family","locality","Sex","X.1","X","lacm","field","laf","age","specnat","measure","gonads","coll","datecoll","spp","ele","lat","lng","Description","abv","cty","cty2","nat","mount","name"
"701",2978,115550,"Catharus","Catharus guttatus","M","2008-01-28","UNITED STATES","Orange County","California",NA,NA,NA,NA,NA,23.6,"complete skeleton",NA,"skel_full",NA,NA,NA,2008,1,2000,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA ORANGE CO NA NEWPORT BEACH","M",85833,85833,115550,"",NA,"Unassigned","SN","C=12.0; W=92; T=28.8","L T = 1 X 1; R T = 2 X 1","ANDERSEN, V","28 JAN 2008","ssp","",NA,NA,"complete skeleton","CA","Orange Co","Orange County","skeleton",NA,"LACM 115550"
"702",2979,111877,"Catharus","Catharus guttatus","F",NA,"UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,24,"study skin","skin_study",NA,NA,NA,NA,NA,NA,NA,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA ROLLING HILLS","F",85963,85963,111877,"",NA,"Unassigned","SS","W=84","OV= 5.5 X 3.0, GRANULAR","SHANMAN, R","00 MAR 2002","ssp","",33.7580991,-118.3445549,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 111877"
"703",2980,111878,"Catharus","Catharus guttatus","M",NA,"UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,22.3,"study skin","skin_study",NA,NA,NA,NA,NA,NA,NA,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA ROLLING HILLS","M",85964,85964,111878,"",NA,"Unassigned","SS","W=90","LT= 2.5 X 1.0; RT= 3.0 X 1.0","SHANMAN, R","00 MAR 2002","ssp","",33.7580991,-118.3445549,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 111878"
"704",2982,115704,"Dendroica","Setophaga coronata","F","2010-04-13","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,10.3,"study skin","skin_study",NA,NA,NA,NA,2010,4,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA ALTADENA","F",86000,86000,115704,"",7555,"Unassigned","SS","","OV = 4 X 3","WARTMAN, D","13 APR 2010","auduboni","",34.18,-118.139,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 115704"
"705",2984,115709,"Catharus","Catharus guttatus","M","2006-03-12","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,21.2,"study skin","skin_study",NA,NA,NA,NA,2006,3,2000,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA","M",86244,86244,115709,"",7562,"Unassigned","SS","","L T = 2 X 1.5, BLACK","HACKAMACK, G","12 MAR 2006","guttatus","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 115709"
"706",2995,119715,"Dendroica","Setophaga coronata","M","2013-04-07","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,11.7,"study skin","skin_study",NA,NA,NA,NA,2013,4,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA SOUTH PASADENA","M",86976,86976,119715,"",7915,"Unassigned","SS","","","SINOTT, D","07 APR 2013","auduboni","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 119715"
"707",2996,119716,"Dendroica","Setophaga coronata","F","2013-11-04","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,11.3,"study skin","skin_study",NA,NA,NA,NA,2013,11,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES","F",86977,86977,119716,"",7988,"Unassigned","SS","","OV = SMALL, SMOOTH","FRAGOMENI, A","04 NOV 2013","auduboni","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 119716"
"708",2997,119993,"Catharus","Catharus guttatus","M","2013-11-09","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,23,"study skin","skin_study",NA,NA,NA,NA,2013,11,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA PALOS VERDES PENINSULA","M",86992,86992,119993,"",8134,"Unassigned","SS","","L+RT = 1.5 X 1","NICHOLS, C","09 NOV 2013","ssp","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 119993"
"709",2998,119803,"Catharus","Catharus guttatus","M","2013-02-07","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,17.9,"complete skeleton",NA,"skel_full",NA,NA,NA,2013,2,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA TUJUNGA","M",86993,86993,119803,"13-0174",7960,"Unassigned","SN","C=11.1; W=89; RAIL=70","L+RT = 1 X 1, BLACK","CALIFORNIA WILDLIFE CENTER","07 FEB 2013","ssp","",NA,NA,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 119803"
"710",3000,119806,"Dendroica","Setophaga coronata","M","2012-01-13","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,9.6,"complete skeleton",NA,"skel_full",NA,NA,NA,2012,1,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA SHERMAN OAKS","M",87083,87083,119806,"12-0043",NA,"Unassigned","SN","C=9.7; W=79","L+RT = 1.5 X 1.0","CALIFORNIA WILDLIFE CENTER","13 JAN 2012","auduboni","",NA,NA,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 119806"
"711",3003,115836,"Catharus","Catharus guttatus","M","2000-01-19","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,26,"complete skeleton",NA,"skel_full",NA,NA,NA,2000,1,2000,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA SIERRA MADRE","M",87130,87130,115836,"",NA,"Unassigned","SN","W=90","LT 1X1","EATON CANYON NATURE CENTER","19 JAN 2000","ssp","",NA,NA,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 115836"
"712",3005,119714,"Dendroica","Setophaga coronata","M","2011-04-10","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,8.8,"study skin","skin_study",NA,NA,NA,NA,2011,4,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA","M",87613,87613,119714,"",7998,"Unassigned","SS","","LT = 2.0 X 1.5, RT = 1.5 X 1.0","SIECHERT, J","10 APR 2011","auduboni","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 119714"
"713",3016,118731,"Catharus","Catharus guttatus","F","1966-11-15","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,22.4,"complete skeleton",NA,"skel_full",NA,NA,NA,1966,11,1960,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA BELMONT SHORES","F",88016,88016,118731,"",NA,"Unassigned","SN","","","DAVIS, J","15 NOV 1966","ssp","",NA,NA,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 118731"
"714",3020,118728,"Catharus","Catharus guttatus","F","1967-06-22","UNITED STATES","Mono County","California",NA,NA,NA,NA,NA,26,"complete skeleton",NA,"skel_full",NA,NA,NA,1967,6,1960,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA MONO CO NA WHITMORE HOT SPRINGS","F",88020,88020,118728,"",NA,"Unassigned","SN","","OV = 9 MM, GRANULAR","LAHTELA, L A","22 JUN 1967","ssp","",NA,NA,"complete skeleton","CA","Mono Co","Mono County","skeleton",NA,"LACM 118728"
