"","X.2","catalog","genus","species","sex","date","country","county","state","loc","tl","ws","wc","ossif","wt","description","skin","skeleton","tissue","wing","ethanol","year","month","decade","collection","order","family","locality","Sex","X.1","X","lacm","field","laf","age","specnat","measure","gonads","coll","datecoll","spp","ele","lat","lng","Description","abv","cty","cty2","nat","mount","name"
"1",10,8461,"Eremophila","Eremophila alpestris","M","1940-03-02","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,51.9000015259,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8461"
"2",11,8462,"Eremophila","Eremophila alpestris","F","1940-03-03","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,39.7999992371,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8462"
"3",12,8463,"Eremophila","Eremophila alpestris","M","1940-03-03","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,52,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8463"
"4",13,8464,"Eremophila","Eremophila alpestris","M","1940-03-03","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,45.2000007629,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8464"
"5",17,8468,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",188,335,114,NA,48,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8468"
"6",18,8469,"Eremophila","Eremophila alpestris","M","1937-02-28","United States","Tompkins County","New York","4 mi. SE of Ithaca",NA,NA,NA,NA,50.7999992371,"study skin","skin_study",NA,NA,NA,NA,1937,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County 4 mi. SE of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8469"
"7",20,8471,"Eremophila","Eremophila alpestris","M","1940-01-06","United States","Tompkins County","New York","Town of Ithaca",NA,NA,109.5,NA,49,"study skin","skin_study",NA,NA,NA,NA,1940,1,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8471"
"8",21,8472,"Eremophila","Eremophila alpestris","M","1940-01-06","United States","Tompkins County","New York","Town of Ithaca",NA,NA,113,NA,46,"study skin","skin_study",NA,NA,NA,NA,1940,1,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8472"
"9",23,8474,"Eremophila","Eremophila alpestris","F","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,99,NA,44.4000015259,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8474"
"10",24,8475,"Eremophila","Eremophila alpestris","M","1940-03-08","United States","Tompkins County","New York","Town of Ithaca",NA,NA,110,NA,46.2999992371,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8475"
"11",25,8476,"Eremophila","Eremophila alpestris","F","1939-12-16","United States","Tompkins County","New York","Town of Ithaca",NA,NA,98,NA,45,"study skin","skin_study",NA,NA,NA,NA,1939,12,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8476"
"12",26,8477,"Eremophila","Eremophila alpestris","M","1939-12-16","United States","Tompkins County","New York","Town of Ithaca",NA,NA,109,NA,43,"study skin","skin_study",NA,NA,NA,NA,1939,12,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8477"
"13",27,8478,"Eremophila","Eremophila alpestris","M","1929-03-18","United States","Tompkins County","New York","Town of Ithaca",185,345,NA,NA,46.5,"study skin","skin_study",NA,NA,NA,NA,1929,3,1920,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8478"
"14",28,8479,"Eremophila","Eremophila alpestris","F","1924-11-25","United States","Tompkins County","New York","Ithaca, Meyer's Point",171,318,99,NA,37.7999992371,"study skin","skin_study",NA,NA,NA,NA,1924,11,1920,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, Meyer's Point","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8479"
"15",54,8505,"Eremophila","Eremophila alpestris","M","1935-02-02","United States","Tompkins County","New York","Dryden",NA,NA,NA,NA,36.5,"study skin","skin_study",NA,NA,NA,NA,1935,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Dryden","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8505"
"16",55,8506,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",170,330,105,NA,39,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8506"
"17",56,8507,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",175,338,104,NA,42.2999992371,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8507"
"18",57,8508,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",190,339,107,NA,41,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8508"
"19",58,8509,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",181,332,106,NA,41,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8509"
"20",59,8510,"Eremophila","Eremophila alpestris","M","1934-02-16","United States","Tompkins County","New York","Town of Ithaca",183,331,107,NA,37.2999992371,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8510"
"21",60,8511,"Eremophila","Eremophila alpestris","F","1934-02-20","United States","Tompkins County","New York","Town of Ithaca",NA,NA,99,NA,38.5,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8511"
"22",61,8512,"Eremophila","Eremophila alpestris","M","1934-02-20","United States","Tompkins County","New York","Town of Ithaca",180,NA,107,NA,40,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8512"
"23",62,8513,"Eremophila","Eremophila alpestris","M","1934-02-25","United States","Tompkins County","New York","Town of Ithaca",184,331,103,NA,39,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8513"
"24",63,8514,"Eremophila","Eremophila alpestris","F","1931-02-25","United States","Tompkins County","New York","Town of Ithaca",164,303,97,NA,36,"study skin","skin_study",NA,NA,NA,NA,1931,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8514"
"25",64,8515,"Eremophila","Eremophila alpestris","M","1934-02-25","United States","Tompkins County","New York","Town of Ithaca",170,315,104,NA,38.7000007629,"study skin","skin_study",NA,NA,NA,NA,1934,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8515"
"26",65,8516,"Eremophila","Eremophila alpestris","F","1937-02-28","United States","Tompkins County","New York","4 mi. SE of Ithaca",NA,NA,98,NA,32.0999984741,"study skin","skin_study",NA,NA,NA,NA,1937,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County 4 mi. SE of Ithaca","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8516"
"27",66,8517,"Eremophila","Eremophila alpestris","M","1937-02-28","United States","Tompkins County","New York","4 mi. SE of Ithaca",NA,NA,NA,NA,35.5999984741,"study skin","skin_study",NA,NA,NA,NA,1937,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County 4 mi. SE of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8517"
"28",68,8519,"Eremophila","Eremophila alpestris","M","1937-03-07","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,NA,NA,39.2000007629,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8519"
"29",69,8520,"Eremophila","Eremophila alpestris","F","1937-03-07","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,94,NA,31.6000003815,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8520"
"30",70,8521,"Eremophila","Eremophila alpestris","M","1937-03-09","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,106.5,NA,38.4000015259,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8521"
"31",71,8522,"Eremophila","Eremophila alpestris","F","1937-03-09","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,99,NA,33.9000015259,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8522"
"32",72,8523,"Eremophila","Eremophila alpestris","F","1937-03-09","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,98,NA,38.7999992371,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8523"
"33",73,8524,"Eremophila","Eremophila alpestris","F","1937-03-09","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,99,NA,32.9000015259,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8524"
"34",74,8525,"Eremophila","Eremophila alpestris","F","1937-03-09","United States","Tompkins County","New York","Ithaca, 3 mi. E",NA,NA,99,NA,37.7000007629,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 3 mi. E","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8525"
"35",75,8526,"Eremophila","Eremophila alpestris","F","1937-03-20","United States","Tompkins County","New York","Ithaca, Airport",NA,NA,NA,NA,35.5999984741,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, Airport","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8526"
"36",76,8527,"Eremophila","Eremophila alpestris","F","1937-03-20","United States","Tompkins County","New York","Ithaca, Airport",NA,NA,94,NA,34.0999984741,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, Airport","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8527"
"37",77,8528,"Eremophila","Eremophila alpestris","M","1937-03-20","United States","Tompkins County","New York","Ithaca, Airport",NA,NA,NA,NA,34.7000007629,"study skin","skin_study",NA,NA,NA,NA,1937,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, Airport","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8528"
"38",78,8529,"Eremophila","Eremophila alpestris","M","1935-02-02","United States","Tompkins County","New York","Dryden",NA,NA,NA,NA,36.5999984741,"study skin","skin_study",NA,NA,NA,NA,1935,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Dryden","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8529"
"39",79,8530,"Eremophila","Eremophila alpestris","M","1935-02-02","United States","Tompkins County","New York","Dryden",NA,NA,NA,NA,36.5999984741,"study skin","skin_study",NA,NA,NA,NA,1935,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Dryden","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8530"
"40",80,8531,"Eremophila","Eremophila alpestris","M","1935-02-02","United States","Tompkins County","New York","Dryden",NA,NA,NA,NA,41.0999984741,"study skin","skin_study",NA,NA,NA,NA,1935,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Dryden","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8531"
"41",81,8532,"Eremophila","Eremophila alpestris","M","1935-02-02","United States","Tompkins County","New York","Dryden",NA,NA,NA,NA,36.9000015259,"study skin","skin_study",NA,NA,NA,NA,1935,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Dryden","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8532"
"42",82,8533,"Eremophila","Eremophila alpestris","M","1935-02-02","United States","Tompkins County","New York","Dryden",NA,NA,NA,NA,34.4000015259,"study skin","skin_study",NA,NA,NA,NA,1935,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Dryden","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8533"
"43",83,8534,"Eremophila","Eremophila alpestris","M","1937-02-22","United States","Cayuga County","New York","Scipio Centre",NA,NA,102.5,NA,34.5,"study skin","skin_study",NA,NA,NA,NA,1937,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Cayuga County Scipio Centre","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8534"
"44",84,8535,"Eremophila","Eremophila alpestris","M","1940-01-06","United States","Tompkins County","New York","Town of Ithaca",NA,NA,104,NA,47,"study skin","skin_study",NA,NA,NA,NA,1940,1,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8535"
"45",85,8536,"Eremophila","Eremophila alpestris","M","1940-01-06","United States","Tompkins County","New York","Town of Ithaca",NA,NA,103,NA,48,"study skin","skin_study",NA,NA,NA,NA,1940,1,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8536"
"46",88,8539,"Eremophila","Eremophila alpestris","M","1938-02-18","United States","Tompkins County","New York","Ithaca, Forest Home, CU Rifle Range, North side of Fall Creek across from Stevens Suspension Bridge",NA,NA,NA,NA,30.6000003815,"study skin","skin_study",NA,NA,NA,NA,1938,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, Forest Home, CU Rifle Range, North side of Fall Creek across from Stevens Suspension Bridge","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8539"
"47",89,8540,"Eremophila","Eremophila alpestris","M","1938-02-18","United States","Tompkins County","New York","Ithaca, Forest Home, CU Rifle Range, North side of Fall Creek across from Stevens Suspension Bridge",NA,NA,NA,NA,38.9000015259,"study skin","skin_study",NA,NA,NA,NA,1938,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, Forest Home, CU Rifle Range, North side of Fall Creek across from Stevens Suspension Bridge","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8540"
"48",93,8544,"Eremophila","Eremophila alpestris","M","1939-02-22","United States","Tompkins County","New York","Ithaca, 4 mi. E",NA,NA,102,NA,38.7999992371,"study skin","skin_study",NA,NA,NA,NA,1939,2,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Ithaca, 4 mi. E","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8544"
"49",94,8545,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,106,NA,40,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8545"
"50",95,8546,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,108,NA,42.7000007629,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8546"
"51",96,8547,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,100,NA,39.2000007629,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8547"
"52",97,8548,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,103,NA,37.7999992371,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8548"
"53",98,8549,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,104,NA,41.2000007629,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8549"
"54",99,8550,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,100,NA,39.9000015259,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8550"
"55",100,8551,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,106,NA,45,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8551"
"56",101,8552,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,107,NA,40,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8552"
"57",102,8553,"Eremophila","Eremophila alpestris","M","1940-02-23","United States","Tompkins County","New York","Town of Ithaca",NA,NA,99,NA,38.7000007629,"study skin","skin_study",NA,NA,NA,NA,1940,2,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8553"
"58",103,8554,"Eremophila","Eremophila alpestris","M","1940-03-08","United States","Tompkins County","New York","Town of Ithaca",NA,NA,103,NA,40,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8554"
"59",104,8555,"Eremophila","Eremophila alpestris","M","1940-03-10","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,41,"study skin","skin_study",NA,NA,NA,NA,1940,3,1940,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8555"
"60",105,8556,"Eremophila","Eremophila alpestris","M","1939-03-11","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,34,"study skin","skin_study",NA,NA,NA,NA,1939,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8556"
"61",106,8557,"Eremophila","Eremophila alpestris","M","1939-03-11","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,36.2999992371,"study skin","skin_study",NA,NA,NA,NA,1939,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8557"
"62",107,8558,"Eremophila","Eremophila alpestris","M","1939-03-11","United States","Tompkins County","New York","Town of Ithaca",NA,NA,NA,NA,36.2000007629,"study skin","skin_study",NA,NA,NA,NA,1939,3,1930,"CUMV","Passeriformes","Alaudidae","United States New York Tompkins County Town of Ithaca","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMV 8558"
