lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
78913,26788,F,NA,AD,SS,,,NA,,8-Jun-71,Phoeniculidae,Phoeniculus purpureus,Phoeniculus,zuluensis,MOZAMBIQUE INHAMBANE  NA MASSINGA,INHAMBANE,,,-23.12,35.35,6/8/1971,1971,6,study skin,NA,,
66945,B846,F,NA,,SS,,OSE,35,"WILLIAMS, A E",12-Jul-67,Picidae,Campethera nivosa,Campethera,herberti,UGANDA TORO KINGDOM BWAMBA CO NA BWAMBA FOREST,TORO KINGDOM,BWAMBA CO,2300 F,0.8,30.15,7/12/1967,1967,7,study skin,NA,Bwamba Co,Bwamba County
29252,25532,M,NA,,SS,,,NA,"CARRIKER, M A JR",15-Apr-57,Emberizidae,Anisognathus lacrymosus,Anisognathus,intensus,COLOMBIA CAUCA  NA CERRO MUNCHIQUE,CAUCA,,2500 M,2.53,-76.95,4/15/1957,1957,4,study skin,NA,,
59143,,F,NA,,SS,,,NA,"BERNAL, P",12-May-60,Fringillidae,Carduelis spinescens,Carduelis,spinescens,COLOMBIA CUNDINAMARCA BOGOTA MUN NA BOGOTA VIC,CUNDINAMARCA,BOGOTA MUN,,4.6,-74.08,5/12/1960,1960,5,study skin,NA,Bogota Mun,Bogota Mun
83236,4140,F,NA,IM,SS,,,NA,"ARVEY, M DALE",1-Mar-72,Tyrannidae,Empidonax virescens,Empidonax,,COLOMBIA CAUCA  NA EL BORDO,CAUCA,,,2.1,-76.97,3/1/1972,1972,3,study skin,NA,,
34016,,U,NA,,SS,,,NA,"KOVACS, A",10-Mar-56,Anatidae,Anas sibilatrix,Anas,,ARGENTINA RIO NEGRO PROV  NA EL BOLSON,RIO NEGRO PROV,,,-41.97,-71.52,3/10/1956,1956,3,study skin,NA,,
22860,2286,M,NA,,SS,,,NA,"WILLETT, GEORGE",2-Mar-18,Motacillidae,Anthus rubescens,Anthus,pacificus,UNITED STATES CALIFORNIA ORANGE CO NA ANAHEIM BAY,CALIFORNIA,ORANGE CO,,33.83,-117.93,3/2/1918,1918,3,study skin,CA,Orange Co,Orange County
61780,,F,NA,AD,SS,,,NA,"GRACE, J C",23-Jul-55,Nectariniidae,Nectarinia olivacea,Nectarinia,olivacea,SOUTH AFRICA NATAL PROV DURBAN DIST NA HILLCREST,NATAL PROV,DURBAN DIST,,-29.77,30.77,7/23/1955,1955,7,study skin,NA,Durban Dist,Durban Dist
99776,PMG1303,U,NA,,SN,,,NA,"SCHREIBER, R W",2-Oct-80,Ploceidae,Passer domesticus,Passer,domesticus,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES,CALIFORNIA,LOS ANGELES CO,,33.9651,-118.1549,10/2/1980,1980,10,complete skeleton,CA,Los Angeles Co,Los Angeles County
5571,5758,U,NA,,SS,,,NA,"DAGGETT, F S",3-May-14,Scolopacidae,Numenius phaeopus,Numenius,hudsonicus,UNITED STATES CALIFORNIA LOS ANGELES CO NA PLAYA DEL REY,CALIFORNIA,LOS ANGELES CO,,33.9593544,-118.4330292,5/3/1914,1914,5,study skin,CA,Los Angeles Co,Los Angeles County
123265,,,4745,,TI,,,NA,,3-Oct-89,Emberizidae,Pheucticus melanocephalus,Pheucticus,,UNITED STATES CALIFORNIA LOS ANGELES CO NA ,CALIFORNIA,LOS ANGELES CO,,33.8108199,-118.2967341,10/3/1989,1989,10,tissue only,CA,Los Angeles Co,Los Angeles County
20884,2961,M,NA,,SS,,,NA,"WILLETT, GEORGE",25-Mar-20,Anatidae,Bucephala clangula,Bucephala,americana,UNITED STATES ALASKA  NA CRAIG,ALASKA,,,55.4760513,-133.1500244,3/25/1920,1920,3,study skin,AK,,
97580,,M,NA,,SS,,,NA,"PARTRIDGE, W H",20-Nov-59,Tyrannidae,Leptopogon amaurocephalus,Leptopogon,amaurocephalus,ARGENTINA MISIONES PROV  NA ARROYO URUGUA-I,MISIONES PROV,,,-25.9,-54.6,11/20/1959,1959,11,study skin,NA,,
32169,,M,NA,,SS,,,NA,"OLALLA, A M",10-Jul-57,Furnariidae,Synallaxis gujanensis,Synallaxis,gujanensis,BRAZIL PARA  NA JACUARA,PARA,,,NA,NA,7/10/1957,1957,7,study skin,NA,,
