lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
82765,,M,NA,,SS,,TSE,26,"KYONGO, J N AND J ITHIA",13-Jul-72,Muscicapidae,Alethe poliocephala,Alethe,carruthersi,KENYA WESTERN PROV KAKAMEGA DIST NA KAKAMEGA FOREST,WESTERN PROV,KAKAMEGA DIST,,0.27,34.88,7/13/1972,1972,7,study skin,NA,Kakamega Dist,Kakamega Dist
2866,2013,M,NA,,SS,,,NA,"HORNUNG, J",5-Dec-18,Picidae,Colaptes auratus,Colaptes,collaris,UNITED STATES CALIFORNIA SANTA BARBARA CO NA SANTA CRUZ IS,CALIFORNIA,SANTA BARBARA CO,,34,-119.6666667,12/5/1918,1918,12,study skin,CA,Santa Barbara Co,Santa Barbara County
50171,3,F,NA,,SS,,,NA,"ASHCRAFT, G P",18-Jan-38,Emberizidae,Geospiza scandens,Geospiza,intermedia,GALAPAGOS IS SEYMOUR IS  NA SOUTH IS,SEYMOUR IS,,,-0.45,-90.25,1/18/1938,1938,1,study skin,NA,,
65402,IF600,F,NA,,SS,,ONE,15,"WILLIAMS, A E",4-Apr-67,Muscicapidae,Terpsiphone viridis,Terpsiphone,kivuensis,UGANDA KIGEZI DIST  NA KAYONZA,KIGEZI DIST,,4200 F,-0.93,29.7,4/4/1967,1967,4,study skin,NA,,
81604,,F,NA,,SS,,,16,"KYONGO, J N AND J ITHIA",26-Feb-72,Muscicapidae,Sylvia borin,Sylvia,,KENYA COAST PROV KWALE DIST NA SHIMBA HILLS,COAST PROV,KWALE DIST,,-4.22,39.42,2/26/1972,1972,2,study skin,NA,Kwale Dist,Kwale Dist
1593,JH759,F,NA,,SS,,,NA,"WYMAN, L E",30-Oct-16,Laridae,Larus delawarensis,Larus,,UNITED STATES CALIFORNIA LOS ANGELES CO NA MARINA DEL REY,CALIFORNIA,LOS ANGELES CO,,33.9666667,-118.4166667,10/30/1916,1916,10,study skin,CA,Los Angeles Co,Los Angeles County
31147,27874,F,NA,,SS,,,NA,"CARRIKER, M A JR",23-Apr-58,Dendrocolaptidae,Dendrocolaptes certhia,Dendrocolaptes,colombianus,COLOMBIA NARINO  NA LA GUAYACANA,NARINO,,600 M,1.43,-78.45,4/23/1958,1958,4,study skin,NA,,
21917,3389,M,NA,,SS,,,NA,"MUNRO, J A",1-Apr-24,Strigidae,Megascops kennicottii,Megascops,kennicottii,CANADA BRITISH COLUMBIA PROV  NA CEDAR HILL,BRITISH COLUMBIA PROV,,,NA,NA,4/1/1924,1924,4,study skin,NA,,
60767,17918,M,NA,,SS,,,NA,"STAGER, K E",23-Jun-66,Alcedinidae,Halcyon leucocephala,Halcyon,leucocephala,KENYA RIFT VALLEY PROV SAMBURU DIST NA MT NYIRU,RIFT VALLEY PROV,SAMBURU DIST,,2.13,36.85,6/23/1966,1966,6,study skin,NA,Samburu Dist,Samburu Dist
53773,14686,M,NA,,SS,,,NA,"PARTRIDGE, W H",5-Jul-59,Emberizidae,Stephanophorus diadematus,Stephanophorus,,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,7/5/1959,1959,7,study skin,NA,,
